WKT,EPAbeachID,SPLocation,Description,County,Boundary
"POINT (-79.963338 32.788310)",,Brittlebank Park,Brittlebank Park,Charleston,Lower Ashley River
"POINT (-79.950133 32.750698)",,James Island Creek 1,James Island Creek 1,Charleston,Lower Ashley River
"POINT (-79.971168 32.744501)",,James Island Creek 2,James Island Creek 2,Charleston,Lower Ashley River
"POINT (-79.885063 32.790415)",,Shem Creek 1,Creek Park,Charleston,Lower Cooper River
"POINT (-79.876464 32.793195)",,Shem Creek 2,Shem Creek 2,Charleston,Lower Cooper River
"POINT (-79.861597 32.804816)",,Shem Creek 3,Shem Creek 3,Charleston,Lower Cooper River
"POINT (-79.943512 32.660335)",,Folly Beach,Folly Beach,Charleston,Folly River



